jqr,esp,gram_cat
muntimunti,adj. lleno(a) de monte o matorrales; boscoso(a),sustantivo
muntisana,"con monte, maleza o matorrales; lleno(a) de maleza o matorrales. **muqu.** s. nudosidad, protuberancia (por ej., de las articulaciones de los huesos). **muq’i.** adj. marrón. **muq’ra.** s. llaga; grano (de la piel). **muq’u.** v. podrirse, oxidarse; adj. podrido(a), oxidado(a)",adjetivo
muq’shu,"podrirse, oxidarse; **muq’shuta.** adj. podrido(a), oxidado(a); huero (huevo). **murishi.** s. y adj. (maíz) blanco con pintas o manchas azuladas. **murk’u.** s. grumo (bultito de sustancia mal disuelta en líquido). **murtaja.** s. mortaja",verbo
murtajt’a,amortajar,verbo
murtajt’ishi,"ponerse mortaja (por ej., para asustar). **muru.** adj. usado(a)",verbo
musaya,hacer señas (para que otro guarde silencio),verbo
muspa,hablar o caminar estando dormido(a); desvariar,verbo
musqha,acordarse. **musa** (2) adj,verbo
músiku,"músico(a) (la persona). **musu.** s. mozo, muchacho, hombre joven; enamorado, amante (de mujer); joven soltero, hombre soltero; adj. soltero, joven (varón)",sustantivo
musshu,"entrar a la adolescencia (varón); hacerse jovencito; ser jovencito, ser muchacho",verbo
musshqha,"i. reju-venecer (varón); recobrar condición de hombre libre (después de divorcio o separación). **mushi.** v. cuidar; **mushiri** o **mushkiri.** s. guardián(na), cuidante",verbo
múshuku,"guardar, conservar. **mut’i.** s. maíz cocido, mote",verbo
muykipa,"i. dar(se) media vuelta, voltear; desviarse, cambiar de rumbo o dirección; voltear la esquina",verbo
muykipaya,"t. hacer dar media vuelta, hacer voltear la esquina; desviar, hacer cambiar de dirección (a personas o ganado); prolongar (conversación)",verbo
muynatsa,ponerse (el sol),verbo
muynaqa,"deambular, andar por aquí y por allá; merodear",verbo
muyt’a,"dar vuelta(s); aglomerarse, reunirse (personas o animales); s. aglomeración (de personas o animales). ***dar vueltas la cabeza, no ""dar vuelta(s)""***",verbo
muyt’aya,"hacer dar vueltas; hacer aglomerarse o amontonarse (a personas o ganado); detener, hacer parar (a tropa de gente o ganado). **múyuku.** s. variedad de papa semidomesticada de planta más grande que la común, y que da menos frutos. ## N **na.** pron. yo",verbo
nakuna,nosotros(as) (excluye oyente(s)). V. **jiwsa**. **-na** (1) suf. en. Ej.:,pronombre
najtr’pta,cocear; s. coz. **najra.** s. lengua,verbo
nakiya,"t. hacer arder (fuego), quemar, hacer quemar, incendiar; **nakyiri** o **nakáykiri.** s. incendiario(a), el/la que manda quemar, que hace incendiar",verbo
nakkata,"extenderse, propagarse (fuego); arder, inflamarse (fuego)",verbo
nakshuta,"totalmente quemado(a), carbonizado(a)",adjetivo
nak-shuya,incendiar. **nakts’a.** v. tropezar,verbo
naktr’ishi,tropezarse,verbo
naktr’ishpta,"desafinar, equivocarse de nota (música); tropezarse.***no hay variante con tr’*** **nak’a.** adj. pegajoso(a), viscoso(a), meloso(a)",verbo
nak’tr’a,"ponerse pegajoso(a), ponerse viscoso(a). **nampa** (1) s. pala, lampa. **nampa** (2), **namkipa** o **nankpa.** v. vaciar de un recipiente a otro. **namp’a.** cabeza; norte (II)",verbo
nanshu,"sacar o retirar brasa(s) (para que haya menos fuego). **nanka.** s. lugar o punto de donde parte la derivación de una acequia.***también acequia muy recta, en que el agua va despacio*** **nankipa** V. **nampa** (2). **nanq’a.** s. tierra",verbo
_nanq’asana._,"lleno(a) de tierra, sucio(a) con tierra. **nanra.** s. cascajo; pedregal. V. **kallki** (1)",adjetivo
nanrasana,"con mucho cascajo. **nanta.** adj. tierno(a) (granos de frijol, habas, arvejas, etc.). V. **k’ashka**. **napi.** s. nieve; hielo; **napiwkiri.** s. zona nevada, zona de hielo",adjetivo
napt’a,"nevar. **naphra.** s. hoja (de planta); hoja, página (libro o cuaderno)",verbo
nap’ani,piojoso(a). **-naqa.** suf. por aquí y por allá. Ej.:,adjetivo y sustantivo
naqharpaya,echar hacia abajo barro o lodo con las manos o pala,verbo
naqh-kata,"arrojar lodo o barro a la cara de alguien, o a la pared",verbo
naqhpta,recoger lodo o barro. **naqha**. v. recoger moco. (MH) **naq’a.** s. tierra (SB). V. **nanq’a**. **nara.** s. curva de ladera. V. **suruma**. **náraya** (1) v. esperar,verbo
naraya,hacer reír,verbo
narpaya,"enamorar (con palabras), cortejar. ***también ""rajar"", hablar mal de otro***",verbo
narqutru,"reilón(na).***narquchu, no ""narqutru""***",adjetivo y sustantivo
nartata,sonreír; empezar a reír,verbo
nart’a,"reír, alegrarse (de alguna noticia o gracia); **nart’iri** o **narts’iri.** s. y adj. risueño(a), alegre, que suele alegrarse",verbo
natkha,repartir agua de riego,verbo
nathnatsa,hacer bajar el agua (regando en pendiente),verbo
nathuru,"desviar agua de acequia, desviar cauce de acequia (hacia abajo, en pendiente); s. toma de agua (de acequia)",verbo
nathshu,"desviar agua de acequia, desviar cauce de acequia (no en bajada ni pendiente); s. toma de agua (de acequia). nawa. s. leña; palo; nawa apmata",verbo
"también ""pegar"", ""golpear a alguien""","arder, quemar (la piel, por contacto con algo irritante o quemante); naw nawkutu",verbo
millk’shu,"negocio(s); v. negociar, hacer negocio(s)",sustantivo
nijkhkasa,ya en este momento,adverbo
nijkhatha,"desde hace un momento, desde hace un rato",adverbo
nijkhchara,"recientemente, hace poco",adverbo
nijkhuru,todo el día hasta este momento (hablando en la tarde). **nijra.** s. brazo. 3 El significado causal de,adverbo
nik’ini,"con sebo, seboso(a), grasoso(a)",adjetivo
nik’wishi,"sin sebo, sin grasa",adjetivo
nik’shu,i. engordar. **nilla.** adv. casi,verbo
nillchatha,"casi casi, ""casicito""",adverbo
nirkha,como si fuera recién,adverbo
nisa,en este momento,adverbo
niwnishi,robarse (uno(a) a otro(a),verbo
niwnmuku,"robar a la pasada, robar rápidamente. **-nka-**. suf. estar en. Ej.:",verbo
nuts’natsa,bajar traje. (MH),verbo
nuts’pta,"levantar falda, pantalón, etc.; subir cerro rápidamente",verbo
nuts’shu,"sacarse (ropa, faja, pañuelo, etc.); pelar con agua hervida; pelar maíz cocido",verbo
nuts’uru,"ponerse (ropa). **nugala.** s. nogal; nuez. **nujma.** s. lúcuma. **nujmt’a** o **nujmts’a.** v. olvidar, olvidarse; **nujmts’iri.** adj. y s. olvidadizo(a)",verbo
nujmt’aya,"hacer olvidar. **nujri.** v. hozar, remover (el cerdo) la tierra con el hocico. **nujru.** s. sopa. **nuk’uta.** s. pelo, cabello; cabellera; tranra nuk’uta",verbo
nuk’utuña,"pelito, cabellito",sustantivo
nuk’utwishi,"sin cabello, sin pelo. **numtr’a.** v",adjetivo
nunaya,"hacer remojar, hacer ablandar con remojo, hacer macerar. **nunku.** s. talega, costal (de color blanco, de tocuyo). V. **kushtala**. **nup’i.** s. calor y luz del sol; sol; v. hacer sol",verbo
nuwiq’i,"estar a medio sol, estar el sol medio nublado por las nubes",verbo
nurishi,"hacerse, formarse; preparar (comida, remedio)",verbo
nurmaya,"sin hacer, sin terminar de hacer; desocupado(a) (persona)",adjetivo y adverbo
nurshu,"terminar de hacer, hacer todo; **nurshuta.** adj. terminado(a), listo(a), preparado(a)",verbo
nurt’a,"intentar hacer. **nurakha.** s. pañal. **nuri.** p. e. adentro, dentro; entre",verbo
nuripha,"por dentro, por adentro",adverbo
nuriru,"para adentro, hacia adentro, hacia el interior",adverbo
nuritha,"desde dentro, desde adentro",adverbo
nurna,"dentro, dentro de. **nurshu** , **nurt’a** V. **nura**. **nuru.** s. huevo",adverbo
nutt’a,cubrir (con una capa de algo); tapar acequia (para desviar agua),verbo
nuyuru,"pasar, tragar (alimento o pastilla); aprender todo (observando o copiando). ## Ñ **ña.** p. e. hola, oye (de mujer a mujer). V. **pa** , **sha** (1), **tu**. **ñach’a.** adj. húmedo(a) (leña, soga)",verbo
ñach’shu,humedecerse. **ñajch’i.** s. peine; v. peinar,verbo
ñajch’ishi,"peinarse. **ñajlla.** adj. tímido(a). **ñajlli.** v. raspar; desbastar, cepillar (madera), pulir (madera); labrar (piedra)",verbo
ñajllwaqa,"raspar un poco, raspar una parte. **ñaki** (1) s. pena; preocupación; sufrimiento (de ánimo); senti-miento de añoranza por persona ausente; v. suspirar (por alguien), tener pena, estar apenado(a)",verbo
ñakpaya,"compa-decerse, sentir pena (por alguien); s. compasión",verbo
ñakpta,sentir súbitamente pena o preocupación; extrañar (a persona ausente),desconocido
ñakqha,"lamentarse, volver a sentir pena",verbo
ñaktata,empezar a sentir pena o preocupación; empezar a extrañar,verbo
ñakt’a,"extrañar, añorar; suspirar (por alguien). **ñaki** (2) adj. muchos(as), bastantes. Ej.:",verbo
ñam-pta,"recoger (granos). **ñamka** o **ñamki**. v. tocar, palpar",verbo
ñamknaqa,"tocar o palpar varias veces, tocar aquí y allá",verbo
ñamktr’a,tocar levemente,verbo
ñamkshu,"tocar, manosear. **ñamp’u.** s. arena fina; partícula muy fina o menuda; adj. suave. (Forma rec.:",verbo
ñamp’aya,hacer harina; triturar,verbo
ñamp’shuya,"desmenuzar. **ñanki** (1) s. andén. **ñanki** (2) v. ceder a otro(a) parte de la chacra para que cultive (por amistad o solidaridad). **ñanqaña.** adv. en vano, por gusto, sin motivo",verbo
ñanqañatha,"por gusto, sin motivo; gratis, sin pagar. **ñaña.** s. niña (hasta de cinco años). **ñaphlla** V. **ñaphsha**. **ñaphsha.** adj. delgado(a), delicado(a) (tela, papel, etc.)",adverbo
ñaqshu,mojarse,verbo
ñaqshuya,mojar. **ñaqu.** adj. sin diente(s); con diente(s) cariado(s); cariado(a),verbo
ñaqshu,"cariarse; tener diente(s) astillado(s), o carcomido(s) por la caries. **ñaq’u.** s. gusano; lombriz (de tierra)",verbo
ñaq’shu,agusanarse; **ñaq’shuta.** adj. completamente agusanado(a),verbo
ñaq’shuya,"hacer agusanarse, dejar agusanarse. **ñawi.** s. llave",verbo
ñawara,"abrir cerradura, abrir candado; abrir puerta (con llave)",verbo
ñawt’a,"cerrar con llave. **ñawlli.** v. estar echado(a) de barriga, yacer de cúbito ventral",verbo
ñawllnushu,"descansadero, lugar de descanso. **ñijlliqu.** s. arbusto de ramas delgadas; sirve para leña.***ñijlluqu ...árbol*** **ñijmuqu.** v. sentarse en el suelo extendiendo o estirando las piernas. **ñijwi.** s. líquido o fluido vaginal (no menstrual, de mujeres y demás hembras). (Forma rec.:",sustantivo
ñikuyñiku,negrísimo(a) (persona). **ñik’i.** s,adjetivo
ñillshu,"escaldarse; **ñillshuta.** adj. escaldado(a). **Ñima** , **Ñimaja.** s",verbo
ñimkushi,separarse (pareja),verbo
ñimkuyu,"hacer abandonar (a hijo(a) o cría).***ñimuku*** **ñinqhi.** v. aplastar, presionar, apretar, estrujar; pisotear; adj. aplastado(a), achatado(a), chato(a), ñato(a)",verbo
ñiqshu,"moler (yerbas, raíces). **ñishqtr’a.** v. encogerse; pegarse (al suelo, a la pared). **ñishqi.** v. estar resentido(a), resentirse",verbo
ñiwch’muku,"raspar, arañar (espina o púa).***es con ty’, no con ch’*** **ñiwmptr’a** o **ñiwmptr’ishi.** v. cerrarse (en la oreja hueco de arete). **ñuchka.** adj. resbaloso(a). (Forma rec.:",verbo
ñuchkpta,resbalarse,verbo
ñúchucha,"resbaloso(a). **ñujlla.** s. masa o torrente de agua, lodo y piedras que fluye en un cauce (""huaico""). (Forma rec.:",adjetivo
ñujllpta,"inundar, anegar (avenida o riego incontrolado). **ñuku.** v. jalar los cabellos, jalar el pelo, jalar del pelo",verbo
ñukshu,"arrancar el cabello. **ñulla.** v. tranquilizar, hacer callar (a bebe que llora); s. men-tira",verbo
ñúllishi,tratar de amistar o reconciliarse (pareja),verbo
ñullqha,"volver a tranquilizar, a reconciliar",verbo
ñullishqha,"volver a amistar o reconciliarse, reconciliarse nuevamente. (La variante",verbo
ñullshqha,"i. rehidratarse, recuperar lozanía",verbo
ñullshuyqha,"t. rehidratar, devolver la lozanía. **ñumpi.** v. abundar gente en un lugar, haber mucha gente",verbo
ñumpshu,"terminar de sembrar rápido la chacra con ayuda de mucha gente. **ñuñkata** V. **ñuñu**. **ñuñu.** s. teta, mama, ubre; pezón; leche (la que se mama, no la que ya está en recipiente); v. mamar (acción del niño o niña)",verbo
ñuñaya,"dar la teta, dar el pecho, lactar",verbo
ñuñupaqu,hijo(a) último(a),sustantivo
ñuñkata,i. acostumbrarse (niño(a) o cría) a pecho o ubre de otra madre,verbo
ñuñkataya,t. acostumbrar (a niño(a) o cría) a pecho o ubre de otra madre,verbo
ñuñt’a,"dar la teta, dar el pecho, lactar",verbo
ñuñunta,arbusto de cuyo tallo sacan un líquido lechoso que hace caer las verrugas,sustantivo
ñuñwaqa,dar una mamada (la criatura),verbo
ñuñwaqaya,"hacer dar una mamada (a cría de la vaca, para facilitar el ordeño). **ñuñunta** V. **ñuñu**. **ñuñupaqu** , **ñuñwaqa.** V. **ñuñu**. **ñuqi.** v. trepar, subir (árbol, roca). (Forma rec.:",verbo
ñuq’paya,"manosear, meter la mano",verbo
ñuq’u,"manosear, meter la mano (en barro o mazamorra)",verbo
ñuq’uru,meter la mano (por agujero o hueco). **ñushi.** v. pintar; **ñushiri.** s. pintor(a),verbo
ñusht’a,"untar (parte o sitio de corral, casa o cueva) con sebo de llama (en agradecimiento a la madre tierra, o para protegerse de males o maleficios). ## NH **-nha** (1) suf. es marca de primera persona. a) persona posesora (con sustantivos) o actora (con palabras especiales o adver-biales):",verbo
pachisana,"espinoso(a), lleno(a) de espinas o púas",adjetivo
pachuru,"hincar, punzar. **pachjallu.** s. lombriz (intestinal). (JMBF) **patsa.** s. cielo; horizonte; clima, ambiente; mundo; época, tiempo",verbo
patsaya,tiempo,sustantivo
pajpha,"los(as) dos, ellos(as) dos (animales y cosas)",pronombre
pani,dos (personas),sustantivo y adjetivo
pannha,"nosotros(as) dos, dos de nosotros(as) (excluyendo oyente(s))",pronombre
panpha,"ellos(as) dos, dos de ellos(as), los(as) dos (personas)",pronombre
pansa,"noso-tros(as) dos, dos de nosotros(as) (incluye oyente(s))",pronombre
pasa,dos (se usa con el sustantivo,adjetivo
pajshshu,"renacuajo. **paki.** v. romper, quebrar",sustantivo
pakkha,"romper, quebrar, fracturar; **pakkhatra.** adj. quebrado(a), roto(a), fracturado(a)",verbo
pakshishi,"romperse, quebrarse",verbo
pakshu,"quebrar todo, romper todo. **palma.** s. adorno en forma de palma (en fajas y trenzas). V. **k’ana**. **paltaya.** s. palta (fruta). **palltaya.** s",verbo
palmaya,"sin comer, en ayunas",adjetivo y adverbo
palnushu,"comida, alimento; fruto (parte comestible de una planta)",sustantivo
palpta,"comer en exceso, mucho",verbo
palshu,comer todo; devorar,verbo
palqha,comer de nuevo; rumiar,verbo
palt’a,"comer, terminar de comer (normalmente, con moderación)",verbo
palwaqa,"comer un poco o una porción (de torta, queso, etc.)",verbo
palwaqu,lo que se tiene para comer (o para preparar comida),sustantivo
pamptraqa,"más o menos plano(a) o llano(a), algo plano(a) o llano(a). **pampa** (2) o **pampt’a.** v. enterrar, sepultar. **pananta.** adj. reservado(a), no comunicativo(a). **pani** , **panpha** V. **paja**. **-panqa.** suf. es unión de -",adjetivo
pantaya,"t. confundir, hacer equivocarse",verbo
pant-ruya,"despistar (engañar o confundir a perseguidor(a) y escapar). **pantalunha.** s. pantalón.***pantaluna*** **pañuylu.** s. pañuelo. **pánhara.** s. piedra plana para moler, batán",verbo
paqillkha,ya toda la noche. **parpa.** s. humita. **partida.** s. partida (documento del registro civil). **paru.** s. maíz de granos de color anaranjado intenso. **pasa** V. **paja**. **pasaki.** p. e. voz para hacer que el ganado dé vuelta o no vaya a sitio indebido. **pasawaya.** araña grande (TMX-JCT). **pastra.** s,adverbo
patpata,"andenería, andenes; terreno de superficie desigual; adj. con el pelo cortado disparejamente. **pata** (2) v. doblar (hilo), doblar igualando (hilo); añadir hilo para igualar o para coser",sustantivo
patkha,"doblar (soga, hilo)",verbo
patshu,"terminar de doblar (hilo), terminar de añadir (hilo) para igualar o para coser. **patara.** s. abundancia",verbo
patkhishi,repartirse equitativamente. **patu.** s. pato,verbo
patillu,patillo (pequeño pato silvestre). **pawqu.** s. viudo,sustantivo
pawqshu,enviudar (varón). **pawyu** o **pawyi.** s. abismo. **payqa.** v. acomodar la leña (para cargarla).***páyaqa*** **payqi.** v. tomar la sopa,verbo
payquru,tomar la sopa antes de hacer algo (por ej. en la fiesta de la herranza). **-pi.** suf. pues. Ej.:,verbo
pichqaya,juego que se realiza en velatorios (son cinco juegos),sustantivo
pichqpha,los(as) cinco,pronombre
pijchnushu,escoba,sustantivo
pijchishi,"limpiarse. **pijya.** s. fogón (hecho de piedras o adobe). **piktr’a.** v. i. pegarse, adherirse; pegar, soldar (hueso fractu-rado)",verbo
piktr’aya,"t. pegar, hacer pegarse, hacer adherirse, hacer soldar (hueso). **piki.** s. nigua (pequeño insecto que se mete bajo la piel). **pikpiki.** v. palpitar, latir. **pillpi.** adj. bien cocido(a), ya reventadita(s) por cocción (papa(s)); rajado(s) (labio(s))",verbo
pillpshu,"rajarse, reventar (papas por cocción). **pillqa**. v. mirar sin participar en lo que se ve. **pillqandiru.** adj. s. ""peleandero(a)"", buscapleitos; reparón(na), ""reparoso(sa)"". **pillu.** s. amorseco (yerba de flores blancas). **pilluta.** s. pequeña borla de faja, de honda o de trenza; v. hacer borlita",verbo
piptr’a,"i. espesar, ponerse espeso(a) (comida)",verbo
piptr’aya,"t. espesar (la comida), sembrar muy apretado, muy junto",verbo
pipuypipu,"muy denso(a), muy apretado(a) (sembrío). **pirdunha.** s. perdón",adjetivo
pirqt’a,"levantar pared, muro, cerco; **pirqt’ata.** adj. y s. terreno (cercado con muros). **pirwa.** s. orón, especie de canastón grande en que se guarda lo cosechado. **pirwaylinga.** s. planta sin tallo, de hojas pegadas al suelo. El emplasto de sus hojas hace regenerar la piel y carne de las heridas. **pisa** (1) v. i. y v. t. pesar. **pisa** (2) v. t. pisar (machos de las aves a sus hembras). V. **ani**. **pishi.** p. e. cárgame (en la espalda) (palabra de los niños para que los carguen)",verbo
pulruya,"t. hacer humedecer el suelo profundamente, hasta el fondo. **puma.** s. puma (felino americano de gran tamaño) (SB). V. **liwunha**. **puna.** s. puna (llanura de zonas altas y frías). V. **shallqa**. **punatsa.** V. **puri**. **punchu.** s. poncho (prenda de vestir)",verbo
punchuru,"ponerse poncho. **punka.** s. cáscara o corteza de calabaza, mate (que sirve de recipiente); caparazón (de caracol, tortuga, etc.). **punku** (1) s. puerta; entrada (abertura en la pared). **punku** (2) v. i. aumentar de volumen; hinchar (alimentos, al cocinarse)",verbo
punktr’a,hincharse; **punktr’ata.** adj. hinchado(a). **puptr’a.** v. cerrar el puño,verbo
puptr’ishi,"i. encogerse, contraerse. **puqu.** v. madurar; s. maduración; **púquta.** adj. madurado(a), maduro(a)",verbo
puquya,hacer madurar,verbo
puqtata,"comenzar a madurar. **puratha.** adv. con los(as) dos, con ambos(as)",verbo
purthapa,llegar inespera-damente,verbo
punatsa,"llegar abajo, llegar hacia abajo. **purnasiñalt’a** o **purnasiñaltr’a.** v. persignarse, hacer la señal de la cruz. **puruma.** adj. deshabitado(a), abandonado(a); sin cultivar",verbo
pusaqma,"ocho de Uds., Uds. ocho",pronombre
pusaqpha,"ocho de ellos(as), ellos(as) ocho",pronombre
pusaqsa,"ocho de nosotros(as), nosotros(as) ocho. **pusillu.** s. pocillo, taza. **pushanku.** s. arbusto frondoso de las alturas. **pushi.** s. y adj. cuatro",pronombre
pushpha,"los(as) cuatro, cuatro de ellos(as), ellos(as) cuatro",pronombre
phakphakara,pasar ortiga por todo el cuerpo,verbo
phakshishi,pasarse ortiga por el cuerpo,verbo
phantyshu,"revolver toda la paja revolcándose. **phanku** (1) v. doblar, enrollar (ropa, frazada)",verbo
phankrushi,envolverse con la frazada,verbo
phankuru,"alzar basta del pan-talón o vestido (costura). **phanku** (2) v. cubrir con tierra (especialmente la semilla que no se mete en hueco, como la de la alfalfa). **phaqi** (1) v. parir, dar a luz",verbo
phaqarpaya,abortar. V. **jurshu**,verbo
phaqiya,"hacer parir; engendrar (acción de varón o macho); atender, auxiliar en el parto; **phaqaykiri.** s. partero(a). **phaqi** (2) s. pechera (parte del vestido femenino, la cual sirve como bolsillo)",verbo
phaqnaqa,"llevar en la pechera (frecuentemente); llevar en la pechera por aquí y por allá. **phari.** v. torcer o retorcer (soga). **phasa.** v. desatar, descoser, destejer",verbo
phasshishi,"desatarse, descoserse, destejerse",verbo
phasshu,"desatar todo, descoser todo, destejer todo. **phathaqampi.** s. terreno curvo amplio. **phawi.** v. envolver, enrollar, ovillar; amasar (con rodillo o como con rodillo). **phityhu.** s. prendedor (grande, de plata, con el que se sujeta el",verbo
phityhuphityhu,helecho (la forma de los frondes de esta planta hace recordar al,sustantivo
philluru,"dar vueltas rápidamente, girar rápidamente (persona, trompo, perinola, etc.); s. tobillo. **phiña.** adj. enojado(a), colérico(a); bravo(a); irascible",verbo
phiñatsa,"t. enojar, causar enojo",verbo
phiñpta,"enojarse, encolerizarse",verbo
phiñptaya,"t. enojar, causar enojo; incitar, azuzar (animales, para que peleen); **phiñptaykiri.** s. el/la que hace enojar o causar enojo. **phiya.** s. el centro, el medio; la mitad (parte central); mitad, la mitad (cada una de las dos partes en que se divide algo); en mitad de. Ej.:",verbo
phiyantskha,partir por la mitad,verbo
phiyta,la mitad (de lo que cabe en un recipiente),adverbo
phiytshu,"quedar la mitad (en recipiente, por evaporación o derrame). **phiyantskha** , **phiyta** V. **phiya**. **phutraka.** s. barriga",verbo
phutrkatha,"de barriga. **phutri.** s. yerba pequeña que crece en tiempo de lluvia, en el campo o en terreno cultivado. **phutrhqhi.** s. y adj. (animal o persona) de baja estatura, pequeño(a); enano(a). **phuju** (1) adv. bien (de olor o perfume)",adverbo
phullt’a,"abrigar, cubrir (con frazada, manta, etc.). **phullphullu.** p. e. onom. del sonido de agua que brota",verbo
phullphullta,"manar agua (con sonido característico); borbotar. **phullullunku.** adj. frondoso(a); vueluda, ampulosa, ancha (falda o pollera). **phupha.** adj. abundante en algo, denso(a), ***frondoso(a)***; que contiene mucho de algo",verbo
phuphayphupha,"muy abundante en algo, con muchísimo de algo",adjetivo
phuqaya,"t. llenar, hacer llenar (por ej., recipiente o costal)",verbo
phuqtr’a,"i. llenar, llenarse",verbo
phuqyanushu,"recipiente con el cual se llena. **phurku.** v. asar (papas, carne). V. **kanki**. **phuru.** s. recipiente con cuello alargado, hecho de la corteza seca del fruto de una cucurbitácea. **phusmuku.** v. lavarse la cara. **phuspta.** v. t. inflar",sustantivo
phusputa,vejiga; globo. **phuyu.** v. soplar,sustantivo
phuyarpaya,apagar la candela soplando con fuerza,verbo
phuymuku,apagar la llama de un soplo,verbo
phuynaqa,soplar aquí y allá,verbo
phuynushu,"soplador, cañita para soplar",sustantivo
phuypta,"encender el fogón, prender el fuego; soplar (por ej., para separar de los granos la cáscara de trigo)",verbo
phuyphuyara,apagar todas las llamas o luces,verbo
phuju,"asperjar con la boca (para humedecer ropa al planchar). ## P’ **p’atrhi.** v. i. reventar, estallar",verbo
p’atrhaya,"t. reventar, hacer reventar, hacer estallar",verbo
p’atrhpta,"i. reventar todos(as), estallar todos(as)",verbo
p’atrhshu,"i. reventar, estallar. **p’akaya**. v. acostumbrar, hacer acostumbrar. **p’aki** (1) s. lugar del que brota agua, o por donde sale agua; v. brotar agua (de manantial, de hendidura, etc.)",verbo
p’akaya,"hacer brotar agua. **p’aki** (2) v. romper el cascarón (polluelos, crías de aves); abrir (los ojos, crías de gato, perro, etc.)",verbo
p’allp’allta,producirse ruido al caminar en el agua. **p’aqp’aqa.** p. e. onom. del ruido de cachetada o puñete,verbo
p’aqp’aqta,producirse ruido de cachetada o puñete. **p’aqp’aqta** (2) s. planta del campo que crece en tiempo de lluvia. Sus flores son blancas. La comen las vacas. **p’ityi.** v. tejer (con palitos o croché),verbo
p’itynushu,"palito de tejer. **p’iji.** v. abrir(se) camino entre ramas o arbustos. **p’uchqu.** v. fermentar.***también avinagrarse (comida)*** **p’utranku.** s. hoyo, hueco (sin perforar). V. **khilatra** , **utyhunsa**. **p’ujru.** adj. cóncavo(a), hondo(a); s. hondura, hoyo; topónimo de la parte baja de Ayza, cerca del río Tupe. **p’uqu.** s. cana(s)",sustantivo
p’uqusana,canoso(a),adjetivo
p’uqshu,"ponerse canoso(a), encanecer",verbo
qachipsa,"cualquiera, quienquiera; nadie, ningún, ninguno(a) (en conexión con -",pronombre
qachkuna,"¿quiénes?,",pronombre
qachwira,¿cuál?,pronombre
qachinchpta,sentir cosquillas,verbo
qachinchptaya,"i. hacer cosquillas, hacer sentir cosquillas. **qachipsa** , **qachwira** V. **qachi**. **qatrpa.** v. escarbar; arañar. **qatrqha.** adj. áspero(a); s. sarna, caracha",verbo
qatrqhshu,"i. ponerse áspero(a), volverse áspero(a)",verbo
qatrqhshuya,"poner áspero(a), volver áspero(a). **qatrwa.** s. omóplato; páncreas (antes los ancianos daban a sus hijas golpecitos con el páncreas de un animal para que tuviesen suerte en la crianza del ganado). **qajtra** V. **qhajtra**. **qajlla.** s. cara; mejilla(s)",verbo
qajsiri,"cascada, catarata, caída de agua. **qala.** s. piedra",sustantivo
qalayqala,redondo(a) (como algunas piedras),adjetivo
qalantsa,empedrar,verbo
qalasana,"con piedras, pedregoso(a)",adjetivo
qalqala,pedregoso(a),adjetivo
qalshu,"volverse piedra, petrificarse",verbo
qalt’a,"endurecerse (como piedra). **qalantsa** V. **qala**. **qalshu** , **qalt’a** V. **qala**. **qalla**. v. arrojar, echar (agua, con la mano o lampa). **qállaya.** v. t. comenzar, empezar; v. i. comenzar, iniciarse",verbo
qallyishi,"empezar a conocerse (pareja), empezar a tener trato (incluso sexual). (col.) **qallu** V. **gallu**. **qama.** v. lavar (en general)",verbo
qamishi,"lavarse (cara, manos, pies)",verbo
qammaya,sin lavar,adjetivo
qammuku,"lavar de paso, lavar a la pasada. **qamatya.** s. yerba de hojas dentadas, que se emplea como ingrediente en sopas. Sus hojas en infusión calman malestares de la menstruación. **qami** V. **qamisha**. **qamicha** o **qamichi.** v. hacer qué. Ej.:",verbo
qamishapsa,"como sea, de cualquier manera",adverbo
qami,quísuar (árbol grande con hojas blanco-verdosas). **qantyhuru** V. **qhantyhuru**. **qántrisi.** s. y adj. siete,sustantivo
qantrispha,"los(as) siete, ellos(as) siete. **qanqi.** v. i. clarear, amanecer; emitir luz, despedir luz; s. luz",pronombre
qanqara,i. aclarar (día nublado); amanecer,verbo
qanqaya,"iluminar, alumbrar",verbo
qanqarmashja,al amanecer,adverbo
qanqshu,"i. amanecer, clarear",verbo
qanqshuya,i. amanecer(se) despierto(a),verbo
qanqshuyqha,volver a amanecer en el mismo lugar,verbo
qanqtata,empezar a brillar o iluminar,verbo
qanquru,"entrar la luz del día o del sol, entrar luz, alumbrar (el sol),",verbo
qapara,destapar,verbo
qapt’a,"tapar (olla, con tapa). **qapiri.** v. gritar",verbo
qapirtata,"empezar a gritar. **qaplla.** s. paleta u hoja muy ancha y gruesa de la planta de la tuna, en la cual crecen los frutos. **qapqapu** V. **qapu**. **qapu.** s. rueca; v. hilar",verbo
qapqapu,"arbusto de ramas delgadas, con hojas pequeñas redondeadas, que al ser frotadas depiden olor a timolina. Sus flores son blancas y pequeñitas. De sus tallos se hacen cunas y ruecas. También sirve para leña. **qáqalla.** v. florecer. V. **ch’unchu** (1). **qaqa.** v. perforar (en general, incluyendo cerros), penetrar (algo punzante)",sustantivo
qaqatra,"hueco, agujero",sustantivo
qaqara,hacer hueco; causar herida (abierta) en la cabeza o en otra parte del cuerpo. **qáquchu.** s. loro,verbo
qaquchuña,lorito (insecto alado verde que vive en el arbusto llamado,sustantivo
qaracha,sarna. V. **qatrqha**,sustantivo
